Species,TL,SE,analysis,source,,,,,
Pardaliscidae,2.285,0.35,,,,,,,
Parerythrops obesa,2.2,0.35,,,,,,,
Paromola cuvieri,3.42,0.43,FB/SLB,www.sealifebase.org,,,,,
Parvipalpus major,2.285,0.35,,,,,,,
Pasiphaea multidentata,2.6,0.35,,,,,,,
Pasiphaea sivado,2.6,0.35,,,,,,,
Pasiphaea spp,2.6,0.35,,,,,,,
Patella spp,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Patella vulgata,2,0.35,,,,,,,
Patellidae,2,0.35,,,,,,,
Patina pellicida,2.37,0.35,,,,,,,
Pecten maximus,2,0.07,Local IA,Chouvelon et al. 2012,"1.1 (LeLoc'h et al., 2008)",,,,
Pectinaria koreni,2.061,0.35,,,,,,,
Pectinidae,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Pegusa lascaris,3.3,0.1,FB/SLB,www.fishbase.org,,,,,
Pelagia noctiluca,3,0.35,labtroph,,,,,,
Peltaster placenta,2.2,0.35,labtroph,,,,,,
Penaeidae,3.3,0.35,,,,,,,
Penaeopsis serrata,2.1,0.35,labtroph,,,,,,
Penaeus brasiliensis,2.7,0.35,SeaAroundUs,www.seaaroundus.org/data/#/topic/biodiversity,,,,,
Penaeus spp,3.3,0.35,,,,,,,
Pennatula rubra,2.34,0.35,labtroph,,,,,,
Pennatula spp,2.34,0.35,labtroph,,,,,,
Pennatula sp.,2.34,0.35,labtroph,,,,,,
Perciforme,3.5,0.35,,,,,,,
Perciformes1,3.5,0.35,,,,,,,
Perciformes2,3.5,0.35,,,,,,,
Percoidei,4.4,0.01,,,,,,,
Perinereis diversicolor,2.061,0.35,labtroph,,,,,,
Peristedion cataphractum,3.6,0.3,FB/SLB,www.fishbase.org,,,,,
Petromyzon marinus,4.4,0.85,FB/SLB,www.fishbase.org,,,,,
Petromyzontidae,4.33,0.85,FB/SLB,www.fishbase.org,,,,,
Phakellia ventilabrum,2,0.35,labtroph,,,,,,
Pharidae,2.1,0.35,labtroph,,,,,,
Philocheras bispinosus,3.2,0.35,,,,,,,
Philocheras echinolatus,2.6,0.35,,,,,,,
Philocheras echinulatus,2.6,0.35,,,,,,,
Philocheras sculptus,3.2,0.35,,,,,,,
Philocheras spp,3.2,0.35,,,,,,,
Phormosoma placenta,2,0.35,labtroph,,,,,,
Phoxocephalidae,2.285,0.35,,,,,,,
Phronima sedentaria,2.285,0.35,,,,,,,
Phrynorhombus norvegicus,4,0.6,FB/SLB,www.fishbase.org,,,,,
Phtisica marina,2.285,0.35,,,,,,,
Phycis blennoides,3.72,0.04,Local SC,IEO analysis from Isaskun Preciado,,4.04,"Lassalle, 2014",,
Phycis phycis,4.3,0.3,FB/SLB,www.fishbase.org,,,,,
Phycis spp,4.01,0.3,FB/SLB & Local SC,www.fishbase.org & IEO analysis from Isaskun Preciado,,,,,
Phrynorhombus regius,3.8,0.7,FB/SLB,www.fishbase.org,,,,,
Pirimela denticulata,2.5,0.35,,,,,,,
Pisces,3.5,0.35,,,,,,,
Platichthys flesus,3.85,0.2,Non local IA,Pinnegar et al. 2002 ,,,,,
Plectorhinchus mediterraneus,3.5   ,0.52,,,,,,,
Plesionika edwardsi,2.7,0.35,,,,,,,
Plesionika heterocarpus,2.7,0.35,,,,,,,
Plesionika martia,2.6,0.35,,,,,,,
Plesionika spp,2.7,0.35,,,,,,,
Plesiopenaeus edwardsianus,2.6,0.36,,,,,,,
Pleuronectes platessa,3.67,0.17,Non local IA,Pinnegar et al. 2002 ,,,,,
Pleuronectidae,3.9,0.5,FB/SLB & Non local IA,www.fishbase.org & Pinnegar et al. 2002,,,,,
Pleuronectiformes,3.7,0.5,,,,,,,
Pleuronectoidei,3.5,0.5,,,,,,,
Plumularia spp,2.34,0.35,labtroph,,,,,,
Pollachius pollachius,4.2,0.7,FB/SLB,www.fishbase.org,,,,,
Pollachius spp,4.2,0.7,,,,,,,
Pollachius virens,4.11,0.1,Non local IA,Pinnegar et al. 2002 ,,,,,
Pollicipes pollicipes,3.23,0.35,Local modelling,Lassalle et al. 2011,,,,,
Pollicipedidae,3.23,0.35,,,,,,,
Polybius henslowii,2.5,0.35,,,,,,,
Polychaeta,2.061,0.35,,,,,,,
Polycheles typhlops,3.2,0.35,,,,,,,
Polymetme corythaeola,4.4,0.8,FB/SLB,www.fishbase.org,,,,,
Polyprion americanus,4.1,0.64,FB/SLB,www.fishbase.org,,,,,
Polyprion oxygeneios,4.5,0.77,FB/SLB,www.fishbase.org,,,,,
Pomadasys incisus,3.8   ,0.52,,,,,,,
Pomadasys jubelini,3.3,0.5,FB/SLB,www.fishbase.org,,,,,
Pomadasys spp,3.8,0.52,,,,,,,
Pomatochistus spp,3.43,0.25,mean,www.fishbase.org,,,,,
Pomatomus saltatrix,4.5,0.3,FB/SLB,www.fishbase.org,,,,,
Pomatoschistus lozanoi,3.1,0.34,FB/SLB,www.fishbase.org,,,,,
Pomatoschistus minutus,4.1,0.04,Local IA,Chouvelon et al. 2012,,4.03,"Lassalle, 2014",,
Pomatoschistus minutus minutus,4.1,0.04,local IA,Chouvelon et al. 2012,,,,,
Pomatoschistus pictus,3.1,0.33,FB/SLB,www.fishbase.org,,,,,
Pontaster tenuispinus,2.2,0.35,labtroph,,,,,,
Pontinus kuhlii,4.1,0.7,FB/SLB,www.fishbase.org,,,,,
Pontobdella municata,2.06,0.35,labtroph,,,,,,
Pontobdella muricata,2.06,0.35,labtroph,,,,,,
Pontophilus norvegicus,3.2,0.35,labtroph,,,,,,
Pontophilus spinosus,3.2,0.35,labtroph,,,,,,
Pontophilus spp,3.2,0.35,labtroph,,,,,,
Porania pulvillus,2.2,0.35,labtroph,,,,,,
Porifera,2,0.35,labtroph,,,,,,
Porphyra umbilicalis,1,0.01,,,,,,,
Portunidae,2.5,0.35,,,,,,,
Portunus spp,3.23,0.35,Local modelling,Lassalle et al. 2011,,,,,
Priapulida,2.5,0.35,,,,,,,
Prionace glauca,4.2,0.7,FB/SLB,www.fishbase.org,,,,,
Processa canaliculata,2.5,0.35,labtroph,,,,,,
Processa nouveli,2.5,0.35,labtroph,,,,,,
Processa spp,2.5,0.35,labtroph,,,,,,
Psammechinus miliaris,2,0.35,labtroph,,,,,,
Psathyrocaris infirma,2.6,0.35,,,,,,,
Psetta maxima,4.4,0.01,FB/SLB,www.fishbase.org,,,,,
Psettodes bennettii,4.2,0.5,FB/SLB,,,,,,
Pseudomma affine,2.2,0.35,labtroph,,,,,,
Pseudomma spp,2.2,0.35,labtroph,,,,,,
Pseudotiron bouvieri,2.285,0.35,,,,,,,
Psilaster andromeda,2.2,0.35,labtroph,,,,,,
Pteria hirundo,2.1,0.35,labtroph,,,,,,
Pteroeides spinosum,2.34,0.35,labtroph,,,,,,
Pteromylaeus bovinus,3.8,0.57,FB/SLB,www.fishbase.org,,,,,
Pteropoda,2.4,0.35,,,,,,,
Pycnodonte cochlear,2,0.35,labtroph,,,,,,
Rachotropis spp,2.285,0.35,,,,,,,
Raja alba,4.4,0.83,FB/SLB,www.fishbase.org,,,,,
Raja asterias,3.5,0.37,FB/SLB,www.fishbase.org,,,,,
Raja batis,3.5,0.6,FB/SLB,www.fishbase.org,,,,,
Raja brachyura,3.8,0.61,FB/SLB,www.fishbase.org,3.946821991,stomach contents,,,
Raja circularis,3.5,0.37,FB/SLB,www.fishbase.org,,,,,
Raja clavata,3.77,0.02,Local SC,IEO analysis from Isaskun Preciado,,,,,
Raja fullonica,3.5,0.35,FB/SLB,www.fishbase.org,,,,,
Raja georgiana,4.2,0.3,FB/SLB,www.fishbase.org,,,,,
Raja hyperborea,4.3,0.5,FB/SLB,www.fishbase.org,,,,,
Raja leopardus,3.9,0.63,FB/SLB,www.fishbase.org,,,,,
Raja lintea,3.6,0.5,FB/SLB,www.fishbase.org,,,,,
Raja microocellata,3.6,0.04,Local IA,Chouvelon et al. 2012,,,,,
Raja montagui,3.92,0.05,Local SC,IEO analysis from Isaskun Preciado,,,,,
Raja naevus,3.87,0.04,Local SC,IEO analysis from Isaskun Preciado,,,,,
Raja oxyrinchus,3.5,0.35,FB/SLB,www.fishbase.org,,,,,
Raja spp,3.73,0.74,FB/SLB & Local SC & Local IA,www.fishbase.org & IEO analysis from Isaskun Preciado & Chouvelon et al. 2012,,,,,
Raja undulata,3.5,0.37,FB/SLB,www.fishbase.org,,,,,
Rajidae,3.77,0.83,FB/SLB & Local SC & Local IA,www.fishbase.org & IEO analysis from Isaskun Preciado & Chouvelon et al. 2012,,,,,
Rajiformes,3.8,0.6,,,,,,,
Ranella olearium,2.37,0.35,labtroph,,,,,,
Raniceps raninus,3.8,0.56,FB/SLB,www.fishbase.org,,,,,
Reptantia,2.5,0.35,,,,,,,
Rhachotropis caeca,2.285,0.35,,,,,,,
Rhodophyceae,1,0.01,,,,,,,
Rissoidae,2.37,0.35,,,,,,,
Rissoides desmaresti,3.2,0.35,,,,,,,
Rochinia carpenteri,2.5,0.35,,,,,,,
Rondeletiola minor,3.5,0.35,,,,,,,
Rossia macrosoma,4.04,0.53,SLB,www.sealifebase.org,3.17,"Lassalle, 2014",,,
Ruditapes decussatus,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Ruditapes philippinarum,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Ruditapes spp,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Ruvettus pretiosus,4.2,0.57,FB/SLB,www.fishbase.org,,,,,
Sabella spallanzani,2.061,0.35,labtroph,,,,,,
Saccorhiza polyschides,1,0.01,,,,,,,
Salmo salar,4.5,0.3,FB/SLB,www.fishbase.org,,,,,
Salmo trutta,3.4,0.1,FB/SLB,www.fishbase.org,,,,,
Salpidae,2.4,0.35,labtroph,,,,,,
Sander lucioperca,4,0.78,FB/SLB,www.fishbase.org,,,,,
Sarda sarda,4.5,0.7,FB/SLB,www.fishbase.org,,,,,
Sarda spp,4.5,0.7,FB/SLB,www.fishbase.org,,,,,
Sardina pilchardus,3.8,0.06,Local IA,Chouvelon et al. 2012,3.79,"Lassalle, 2014",,,
Sardinella spp,3.4,0.5,,,,,,,
Sarpa salpa,2,0.01,FB/SLB,www.fishbase.org,,,,,
Scaeurgus unicirrhus,3.71,0.35,local IA,"Lassalle et al., 2011",,,,,
Scalpellum scalpellum,2.5,0.35,labtroph,,,,,,
Scaphander lignarius,2.4,0.35,local IA,"LeLoch et al., 2008",,,,,
Scaphopoda,2.6,0.35,,,,,,,
Schedophilus ovalis,3.5,0.47,FB/SLB,www.fishbase.org,,,,,
Sciaena umbra,3.8,0.5,FB/SLB,www.fishbase.org,,,,,
Sciaenidae,3.72,0.75,FB/SLB,www.fishbase.org,,,,,
Scomber colias,3.9,0.63,FB/SLB,www.fishbase.org,,,,,
Scomber japonicus,3.7,0.04,Local IA,Chouvelon et al. 2012,,,,,
Scomber scombrus,3.86,0.32,Local SC,IEO analysis from Isaskun Preciado,4.06,"Lassalle, 2014",,,
Scomber spp,3.82,0.63,FB/SLB & Local SC & Local IA,www.fishbase.org & IEO analysis from Isaskun Preciado & Chouvelon et al. 2012,,,,,
Scomberesocidae,3.8,0.45,FB/SLB,www.fishbase.org,,,,,
Scomberesox saurus,3.6,0.3,FB/SLB,www.fishbase.org,,,,,
Scomberomorus maculatus,4.5,0.5,FB/SLB,www.fishbase.org,,,,,
Scomberomorus spp,4.5,0.5,FB/SLB,www.fishbase.org,,,,,
Scombridae,4.34,0.8,FB/SLB & Local SC & Local IA,www.fishbase.org & IEO analysis from Isaskun Preciado & Chouvelon et al. 2012,,,,,
Scombroidei,4.34,0.8,,,,,,,
Scophthalmidae,4.2,0.4,mean,,,,,,
Scophthalmus maximus,4,0.63,FB/SLB,www.fishbase.org,,,,,
Scophthalmus rhombus,4.4,0.1,FB/SLB,www.fishbase.org,,,,,
Scophthalmus spp,4.2,0.4,mean,,,,,,
Scorpaena loppei,3.5,0.5,FB/SLB,www.fishbase.org,3.76,stomach contents,,,
Scorpaena notata,3.5,0.5,FB/SLB,www.fishbase.org,3.74,stomach contents,,,
Scorpaena porcus,3.9,0.7,FB/SLB,www.fishbase.org,,,,,
Scorpaena scrofa,4.3,0.05,Local IA,Chouvelon et al. 2012,4.43,stomach contents,,,
Scorpaena spp,3.82,0.7,FB/SLB & Local IA,www.fishbase.org & Chouvelon et al. 2012,,,,,
Scorpaenidae,3.82,0.7,FB/SLB & Local IA,www.fishbase.org & Chouvelon et al. 2012,,,,,
Scorpaeniformes,3.82,0.7,,,,,,,
Scyliorhinidae,3.93,0.5,FB/SLB & Local SC,www.fishbase.org & IEO analysis from Isaskun Preciado,,,,,
Scyliorhinus canicula,4.08,0.02,Local SC,IEO analysis from Isaskun Preciado,4.46,"Lassalle, 2014",,,
Scyliorhinus spp,4.04,0.5,FB/SLB & Local SC,www.fishbase.org & IEO analysis from Isaskun Preciado,,,,,
Scyliorhinus stellaris,4,0.5,FB/SLB,www.fishbase.org,4.07,stomach contents,,,
Scyllaridae,2.98,0.35,,,,,,,
Scyllarus arctus,2.98,0.35,,,,,,,
Scyllarus spp,2.98,0.35,,,,,,,
Scymnodon ringens,3.9,0.6,FB/SLB,www.fishbase.org,4.53,stomach contents,,,
Sebastes marinus,4,0.67,FB/SLB,www.fishbase.org,,,,,
Sebastes mentella,4.1,0.66,FB/SLB,www.fishbase.org,,,,,
Sebastes spp,4,0.68,FB/SLB,www.fishbase.org,,,,,
Selachimorpha(Pleurotremata),4.04,0.34,,,,,,,
Semicassis saburon,2.37,0.35,labtroph,,,,,,
Sepia elegans,3.7,0.35,,,3.46,"Lassalle, 2014",,,
Sepia officinalis,3.6,0.05,Local IA,Chouvelon et al. 2012,3.56,"Lassalle, 2014",,,
Sepia orbignyana,3.35,0.03,Local IA,Lassalle et al. 2014,,,,,
Sepia spp,3.7,0.35,,,,,,,
Sepietta oweniana,3.5,0.35,,,,,,,
Sepiidae,3.5,0.35,,,,,,,
"Sepiidae, Sepiolidae",3.5,0.35,,,,,,,
Sepiola rondeleti,3.5,0.35,,,,,,,
Sepiola spp,3.5,0.35,,,,,,,
Sepiolidae,3.5,0.35,,,,,,,
Sergestes arcticus,2.6,0.35,labtroph,,,,,,
Sergia robusta,2.6,0.35,labtroph,,,,,,
Seriola dumerili,4.5,0.8,FB/SLB,www.fishbase.org,,,,,
Seriola lalandi,4.2,0.1,FB/SLB,www.fishbase.org,,,,,
Serpulidae,2.061,0.35,labtroph,,,,,,
Serranidae,3.89,0.61,FB/SLB,www.fishbase.org,,,,,
Serranus atricauda,4.3,0.6,FB/SLB,www.fishbase.org,,,,,
Serranus cabrilla,3.4,0.5,FB/SLB,www.fishbase.org,3.652727517,stomach contents,,,
Serranus hepatus,3.5,0.6,FB/SLB,www.fishbase.org,,,,,
Serranus scriba,3.8,0.6,FB/SLB,www.fishbase.org,,,,,
Serranus spp,3.57,0.6,FB/SLB,www.fishbase.org,,,,,
Sigalionidae,2.061,0.35,labtroph,,,,,,
Sinónimo de Histioteuthis r.,3.5,0.35,labtroph,,,,,,
Sipunculida,2.5,0.35,labtroph,,,,,,
Sipunculida notacanto,2.5,0.35,labtroph,,,,,,
Sipunculus nudus,2.5,0.35,labtroph,,,,,,
Solea lascaris,3.3,0.1,FB/SLB,www.fishbase.org,,,,,
Solea senegalensis,3.1,0.3,FB/SLB,www.fishbase.org,,,,,
Solea solea,3.31,0.06,Local IA,"Chouvelon et al. 2012; Lassalle, 2014","4.1 LeLoc'h et al., 2008",,,,
Solea spp,3.2,0.3,FB/SLB & Local IA,www.fishbase.org & Chouvelon et al. 2012,,,,,
Soleidae,3.49,0.42,FB/SLB & Local IA,www.fishbase.org & Chouvelon et al. 2012,,,,,
Solen marginatus,2.1,0.35,labtroph,,,,,,
Solen spp,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Solenidae,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Solenocera membranacea,2.6,0.35,labtroph,,,,,,
Somniosus rostratus,4.2,0.4,FB/SLB,www.fishbase.org,,,,,
Sparidae,3.49,0.7,FB/SLB & Local SC & Local IA,www.fishbase.org & IEO analysis from Isaskun Preciado & Chouvelon et al. 2012,,,,,
Sparus aurata,3.3,0.5,FB/SLB,www.fishbase.org,,,,,
Spatangoidea,2,0.35,labtroph,,,,,,
Spatangus purpureus,2,0.35,labtroph,,,,,,
Sphyraena sphyraena,4,0.51,FB/SLB,www.fishbase.org,,,,,
Sphyraena spp,4,0.51,FB/SLB,www.fishbase.org,,,,,
Sphyrna lewini,4.1,0.5,FB/SLB,www.fishbase.org,,,,,
Sphyrna mokarran,4.3,0.5,FB/SLB,www.fishbase.org,,,,,
Sphyrna spp,4.43,0.5,FB/SLB,www.fishbase.org,,,,,
Sphyrna zygaena,4.9,0.5,FB/SLB,www.fishbase.org,,,,,
Spicara maena,4.2,0.6,FB/SLB,www.fishbase.org,,,,,
Spicara smaris,3,0.01,FB/SLB,www.fishbase.org,,,,,
Spicara spp,4.2,0.6,FB/SLB,www.fishbase.org,,,,,
Spisula ovalis,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Spisula solida,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Spondyliosoma cantharus,4.3,0.11,Local IA,Chouvelon et al. 2012,3.58,stomach contents,,4.28,"Lassalle, 2014"
Sprattus sprattus,4,0.09,Local IA,Chouvelon et al. 2012,4.01,"Lassalle, 2014",,,
Squalidae,3.7,0.4,FB/SLB & Non local IA,www.fishbase.org & Pinnegar et al. 2002,,,,,
"Squalidae, Scyliorhinidae",3.81,0.5,FB/SLB & Local SC & Non local IA,www.fishbase.org & IEO analysis from Isaskun Preciado & Pinnegar et al. 2002,,,,,
Squaliformes,3.81,0.5,,,,,,,
Squalus acanthias,3.41,0.1,Non local IA,Pinnegar et al. 2002 ,,,,,
Squalus blainville,4.0   ,0.6,,,,,,,
Squalus spp,3.7,0.4,FB/SLB & Non local IA,www.fishbase.org & Pinnegar et al. 2002,,,,,
Squatina spp,4.5,0.6,,,,,,,
Squatina squatina,4.1,0.5,FB/SLB,www.fishbase.org,,,,,
Squilla mantis,2.6,0.35,,,,,,,
Squillidae,3.23,0.35,Local modelling,Lassalle et al. 2011,,,,,
Stegocephalidae,2.285,0.35,labtroph,,,,,,
Stenothoidae,2.285,0.35,labtroph,,,,,,
Sternaspis scutata,2.061,0.35,labtroph,,,,,,
Stichastrella rosea,2.2,0.35,labtroph,,,,,,
Stichopus regalis,2.9,0.35,"LeLoch et al., 2008","LeLoch et al., 2008",,,,,
Stichopus tremulus,2,0.35,labtroph,,,,,,
Stomias boa,4,0.64,FB/SLB,www.fishbase.org,,,,,
Stomias boa boa,4,0.64,FB/SLB,www.fishbase.org,,,,,
Stomiatoidei,3.5,0.35,,,,,,,
Stromateidae,4,0.5,,,,,,,
Stromateus fiatola,4,0.5,FB/SLB,www.fishbase.org,,,,,
Strongylocentrotus spp,2.34,0.35,labtroph,,,,,,
Symphodus cinereus,3.5,0.1,FB/SLB,www.fishbase.org,,,,,
Symphodus melops,3.4,0.1,FB/SLB,www.fishbase.org,,,,,
Symphodus spp,3.45,0.1,mean,,,,,,
Symphurus nigrescens,3.5,0.01,FB/SLB,www.fishbase.org,,,,,
Synaphobranchus kaupii,4.1,0.4,FB/SLB,www.fishbase.org,,,,,
Synaptura lusitanica,3.5,0.5,FB/SLB,www.fishbase.org,,,,,
Syngnathidae,3.7,0.35,,,,,,,
Syrrhoe affinis,2.285,0.35,labtroph,,,,,,
Systellaspis debilis,2.6,0.35,labtroph,,,,,,
Tanaidacea,2.5,0.35,labtroph,,,,,,
Tapes decussata,2.1,0.35,,,,,,,
Tapes philippinarum,2.1,0.35,,,,,,,
Tellina spp,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Tethyaster subinermis,2.2,0.35,labtroph,,,,,,
Tetraodontidae,3.7,0.2,,,,,,,
Tetrapturus albidus,4.5,0.4,,,,,,,
Tetrapturus audax,4.5,0.77,FB/SLB,www.fishbase.org,,,,,
Tetrapturus spp,4.6,0.3,,,,,,,
Thecosomata,2.4,0.35,,,,,,,
Thia scutellata,2.5,0.35,,,,,,,
Thunnini,4.41,0.8,FB/SLB,www.fishbase.org,,,,,
Thunnus alalunga,4.3,0.2,FB/SLB,www.fishbase.org,,,,,
Thunnus albacares,4.4,0.4,FB/SLB,www.fishbase.org,,,,,
Thunnus atlanticus,4.4,0.3,FB/SLB,www.fishbase.org,,,,,
Thunnus maccoyii,3.9,0.53,FB/SLB,www.fishbase.org,,,,,
Thunnus obesus,4.5,0.01,FB/SLB,www.fishbase.org,,,,,
Thunnus spp,4.5,0.5,,,,,,,
Thunnus thynnus,4.5,0.8,FB/SLB,www.fishbase.org,,,,,
Thyrsites atun,3.6,0.3,,,,,,,
Thyssanoessa spp,2.2,0.35,labtroph,,,,,,
Todarodes sagittatus,3.9,0.02,Local IA,Chouvelon et al. 2012,3.83,"Lassalle, 2014",,,
Todarodes spp,3.9,0.02,,,,,,,
Todaropsis eblanae,4.08,0.35,,4.05,"Lassalle, 2014",,,,
Torpedinidae,4.67,0.6,,,,,,,
Torpedo marmorata,5,0.29,Local IA,Chouvelon et al. 2012,5.01,"Lassalle, 2014",,,
Torpedo nobiliana,4.5,0.8,FB/SLB,www.fishbase.org,,,,,
Torpedo spp,4.67,0.6,FB/SLB & Local IA,www.fishbase.org & Chouvelon et al. 2012,,,,,
Trachichthyidae,4,0.53,FB/SLB & Local IA,www.fishbase.org & Chouvelon et al. 2012,,,,,
Trachinidae,4.1,0.71,FB/SLB & Local IA,www.fishbase.org & Chouvelon et al. 2012,,,,,
Trachinotus ovatus,3.7,0.58,,,,,,,
Trachinotus spp,3.7,0.58,,,,,,,
Trachinus draco,3.8,0.03,Local IA,Chouvelon et al. 2012,3.98,stomach contents,,3.73,"Lassalle, 2014"
Trachinus spp,4.2,0.71,,,,,,,
Trachipterus arcticus,4.5   ,0.62,,,,,,,
Trachipterus spp,4.5,0.62,,,,,,,
Trachurus mediterraneus,3.8,0.3,FB/SLB,www.fishbase.org,,,,,
Trachurus picturatus,3.3,0.42,FB/SLB,www.fishbase.org,,,,,
Trachurus spp,3.7,0.42,FB/SLB & Local IA,www.fishbase.org & Chouvelon et al. 2012,,,,,
Trachurus trachurus,4,0.03,Local IA,Chouvelon et al. 2012,4.03,"Lassalle, 2014",,,
Trachyrincus scabrus,3.6,0.3,,,,,,,
Trachyscorpia cristulata,4.4,0.04,Local IA,Chouvelon et al. 2012,4.07,stomach contents,,,
Trachyscorpia cristulata echinata,4.2,0.58,FB/SLB,www.fishbase.org,,,,,
Trachythyone tergestina,2.9,0.35,local IA,"LeLoch et al., 2007",,,accepted name: Leptopentacta tergestina,,
Trachythyone elongata,2.9,0.35,local IA,"LeLoch et al., 2008",,,,,
Triakidae,3.5,0.4,,,,,,,
Trichiuridae,4.13,0.4,FB/SLB & Local IA,www.fishbase.org & Chouvelon et al. 2012,,,,,
Trichiurus lepturus,4.4,0.4,FB/SLB,www.fishbase.org,,,,,
Trichiurus spp,4.4,0.4,,,,,,,
Trigla lyra,3.7,0.01,FB/SLB,www.fishbase.org,,,,,
Trigla lyra (?29 cm),3.46,0.02,Local SC,IEO Analysis ,,,,,
Trigla lyra (?30 cm),3.58,0.1,Local SC,IEO Analysis ,,,,,
Trigla spp,3.7,0.01,FB/SLB,www.fishbase.org,,,,,
Triglidae,3.72,0.5,FB/SLB & Local SC,www.fishbase.org & IEO analysis from Isaskun Preciado,,,,,
Trigloporus lastoviza,3.4,0.5,FB/SLB,www.fishbase.org,,,,,
Trisopterus esmarkii,3.91,0.17,Non local IA,Pinnegar et al. 2002 ,,,,,
Trisopterus luscus,4.04,0.03,Local IA,Chouvelon et al. 2012,3.73,stomach contents,4.04,"Lassalle, 2014",
Trisopterus minutus,3.94,0.02,Local IA,Chouvelon et al. 2012,3.66,stomach contents,3.94,"Lassalle, 2014",
Trisopterus spp,3.8,0.5,,,,,,,
Troschelia berniciensis,2.37,0.35,labtroph,,,,,,
Tryphosella caecula,2.285,0.35,labtroph,,,,,,
Tryphosites alleni,2.285,0.35,labtroph,,,,,,
Tubicola,2.061,0.35,labtroph,,,,,,
Tunicata,2,0.35,labtroph,,,,,,
Turritella communis,2.37,0.35,labtroph,,,,,,
Turritella spp,2.37,0.35,labtroph,,,,,,
Turritellidae,2.37,0.35,labtroph,,,,,,
Umbrina canariensis,3.4,0.44,FB/SLB,www.fishbase.org,,,,,
Umbrina cirrosa, 3.5   ,0.6,FB/SLB,www.fishbase.org,,,,,
Umbrina spp,3.5,0.52,,,,,,,
Undaria pinnatifida,1,0.01,,,,,,,
Upogebia spp,2.5,0.35,,,,,,,
Uranoscopus scaber, 4.4   ,0.7,,,,,,,
Urophycis tenuis,4.3,0.5,,,,,,,
Urothoidae,2.285,0.35,,,,,,,
Veneridae,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Venerupis aurea,2.09,0.35,,,,,,,
Venerupis pullastra,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Venerupis rhomboides,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Venerupis spp,2.09,0.35,,,,,,,
Venus spp,2,0.35,labtroph,,,,,,
Venus verrucosa,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Veretillum cynomonium,2.34,0.35,labtroph,,,,,,
Xanthidae,2.5,0.35,,,,,,,
Xantho pilipes,2.5,0.35,,,,,,,
Xantho spp,2.5,0.35,,,,,,,
Xenodermichthys copei,3.2,0.35,FB/SLB,www.fishbase.org,,,,,
Xiphias gladius,4.5,0.2,FB/SLB,www.fishbase.org,,,,,
Zeidae,4.47,0.19,,,,,,,
Zenopsis conchifer,4.5   ,0.8,,,,,,,
Zeugopterus punctatus,4,0.66,FB/SLB,www.fishbase.org,,,,,
Zeus faber,4.47,0.19,Local SC,IEO analysis from Isaskun Preciado,4.11,"Lassalle, 2014",,,
